# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 200
# Content below the first bin: 0
# Content above the last  bin: 108.832
# Number of events: 10000000
2 0
7.5e-05 0.00015 0
0.000225 0.00015 1.33146
0.000375 0.00015 6.57068
0.000525 0.00015 6.29324
0.000675 0.00015 11.7812
0.000825 0.00015 14.9174
0.000975 0.00015 5.78323
0.001125 0.00015 2.53436
0.001275 0.00015 2.64052
0.001425 0.00015 4.20797
0.001575 0.00015 4.58088
0.001725 0.00015 4.3227
0.001875 0.00015 6.33373
0.002025 0.00015 3.63479
0.002175 0.00015 7.60515
0.002325 0.00015 9.13418
0.002475 0.00015 8.34136
0.002625 0.00015 9.27041
0.002775 0.00015 8.5241
0.002925 0.00015 10.261
0.003075 0.00015 10.1431
0.003225 0.00015 10.2838
0.003375 0.00015 11.0052
0.003525 0.00015 10.8099
0.003675 0.00015 10.061
0.003825 0.00015 11.2973
0.003975 0.00015 10.0927
0.004125 0.00015 13.3823
0.004275 0.00015 10.078
0.004425 0.00015 9.19339
0.004575 0.00015 9.99651
0.004725 0.00015 10.5976
0.004875 0.00015 11.4259
0.005025 0.00015 11.9102
0.005175 0.00015 12.7606
0.005325 0.00015 14.7322
0.005475 0.00015 9.90073
0.005625 0.00015 11.6428
0.005775 0.00015 10.6353
0.005925 0.00015 11.9705
0.006075 0.00015 12.7048
0.006225 0.00015 9.12255
0.006375 0.00015 10.1178
0.006525 0.00015 11.6185
0.006675 0.00015 11.5051
0.006825 0.00015 11.2582
0.006975 0.00015 10.1725
0.007125 0.00015 8.31786
0.007275 0.00015 11.1268
0.007425 0.00015 10.6105
0.007575 0.00015 9.9009
0.007725 0.00015 9.31993
0.007875 0.00015 11.2613
0.008025 0.00015 101.399
0.008175 0.00015 9.56946
0.008325 0.00015 6.98622
0.008475 0.00015 9.94345
0.008625 0.00015 9.93794
0.008775 0.00015 10.9506
